case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit,device,device_label,atu_profile,raw_swr_at_tuner,coax_efficiency,coax_loss_db,transformer_loss_db,choke_loss_db,tuned_input_swr,match_success_swr_2p5,atu_topology,atu_inductance_uH,atu_capacitance_pF,atu_dissipation_loss_db,atu_residual_mismatch_efficiency,atu_transducer_efficiency,atu_total_loss_db,pa_forward_radiating_efficiency,pa_forward_total_loss_db
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,30m,10120000,307.66,-1234.8,105.42415655435605,0.9198999999999999,True,kx3,KX3 / KXAT3,kxat3,7.315216983850872,0.5519143597885264,2.5812830625039487,0.25,0.1,1.0795164877712227,True,load_shunt,0.8699999999999999,604.0,0.10080942374890357,0.9985378576981864,0.9756265100752228,0.10716407391760707,0.45697864460172527,3.4010409478427146
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,30m,10120000,307.66,-1234.8,105.42415655435605,0.9198999999999999,True,kh1,KH1 / KHATU1,khatu1,7.315216983850872,0.5519143597885264,2.5812830625039487,0.25,0.1,2.2965879260539275,True,load_shunt,0.0,420.0,0.016241921724415215,0.8453055905563929,0.8421501863503041,0.7461045091504033,0.39445899300110243,4.039981383075511
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,30m,10120000,307.66,-1234.8,105.42415655435605,0.9198999999999999,True,kh1,KH1 / KHATU1,khatu1_wide_sensitivity,7.315216983850872,0.5519143597885264,2.5812830625039487,0.25,0.1,2.477509752439025,True,load_shunt,0.0,367.0,0.016555303691038872,0.8194805510645005,0.8163626380905578,0.8811687955910552,0.38238023260494236,4.175045669516162
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,20m,14050000,80.308,128.72,6.193630028942117,0.9139,True,kx2,KX2 / KXAT2,kxat2,4.2816180564444055,0.6848128730201607,1.644280844449884,0.25,0.1,1.0108704216891014,True,source_shunt,0.438,369.0,0.25837968224521163,0.9999707770125631,0.9422135384133417,0.2585065979215343,0.5440263471963113,2.6438006691048117
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,20m,14050000,80.308,128.72,6.193630028942117,0.9139,True,kx3,KX3 / KXAT3,kxat3,4.2816180564444055,0.6848128730201607,1.644280844449884,0.25,0.1,1.0604298624707718,True,source_shunt,0.43,369.0,0.26270114377837905,0.9991398235653425,0.9404942722640024,0.2664384501707092,0.5430336570629702,2.651732521353986
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,20m,14050000,80.308,128.72,6.193630028942117,0.9139,True,kh1,KH1 / KHATU1,khatu1,4.2816180564444055,0.6848128730201607,1.644280844449884,0.25,0.1,1.7279625257041924,True,source_shunt,0.35,420.0,0.1954757562336815,0.9287899573127656,0.8879120200385447,0.516300647447337,0.5126730971269045,2.901594718630614
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,20m,14050000,80.308,128.72,6.193630028942117,0.9139,True,kh1,KH1 / KHATU1,khatu1_wide_sensitivity,4.2816180564444055,0.6848128730201607,1.644280844449884,0.25,0.1,3.7857671046823054,False,source_shunt,0.75,220.0,0.365103817406148,0.6611663835600109,0.6078555444417416,2.161996176118191,0.35097079163449135,4.547290247301468
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,17m,18080000,3579.9,431.31,72.63749324196434,0.9228000000000001,True,kx2,KX2 / KXAT2,kxat2,4.922386730867931,0.5937067223848171,2.2642803364408963,0.25,0.1,1.0355108777284412,True,load_shunt,0.8749999999999999,57.0,0.14466171570548772,0.9996956481410206,0.9669446837035797,0.14598370021903356,0.48874371112116904,3.1091881781693713
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,17m,18080000,3579.9,431.31,72.63749324196434,0.9228000000000001,True,kx3,KX3 / KXAT3,kxat3,4.922386730867931,0.5937067223848171,2.2642803364408963,0.25,0.1,1.0310679061721233,True,load_shunt,0.8699999999999999,57.0,0.1460858842498745,0.9997660219688042,0.9666956944884438,0.14710215682558908,0.48861785913078576,3.1103066347759265
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,17m,18080000,3579.9,431.31,72.63749324196434,0.9228000000000001,True,kh1,KH1 / KHATU1,khatu1,4.922386730867931,0.5937067223848171,2.2642803364408963,0.25,0.1,1.401636066348104,True,load_shunt,0.7,60.0,0.12248873015189743,0.9720326694148165,0.9450003917027638,0.24568011475590357,0.47765193421690394,3.2088845927062417
