selection_category,radiator_total_ft,feedline_ft,valid_fraction,worst_band_line_efficiency_p10,worst_band_line_efficiency_median,weighted_line_efficiency_p10,weighted_line_efficiency_median,maximum_raw_swr_p90,maximum_raw_swr_median,match_proxy_feasible
measured_baseline,58.0,28.0,1.0,0.5314987242807133,0.7360762317296139,0.8366828965530144,0.9100532504907347,32.46746080158017,32.46746080157973,True
recommended_reversible_test,57.5,28.0,1.0,0.576408416101806,0.7744516112834285,0.8373753614863197,0.9104937330479115,33.281856554685234,31.421158828589146,True
model_best_under_match_proxy,57.5,28.0,1.0,0.576408416101806,0.7744516112834285,0.8373753614863197,0.9104937330479115,33.281856554685234,31.421158828589146,True
