band,frequency_hz,paired_line_efficiency_change_db_p10,paired_line_efficiency_change_db_median,paired_line_efficiency_change_db_p90
40m,7050000,-0.026610409176233064,-0.008383798814044323,-0.0023918888401559864
30m,10120000,0.0016681500207802176,0.005475871104299849,0.0158981111186284
20m,14050000,-0.14262171962858639,-0.04730200974201784,-0.01378162390825054
17m,18080000,0.048128569876898335,0.1600879900914366,0.4590511843601168
15m,21050000,0.0020458103647545455,0.006618871123699811,0.018728840272503794
12m,24910000,-0.42201529905682633,-0.12150162814472468,-0.0366638338345114
10m,28050000,0.008134540522256293,0.039528018549602306,0.18700210784247723
