selection,band,frequency_hz,compatibility_fraction,resistance_p50,reactance_p50,minimum_q_p50,minimum_q_p90,raw_swr_p50,line_efficiency_p10
current_58_28,40m,7050000,1.0,35.5,-210.99999999999997,4.979182013255466,4.979182013255467,27.163890647614952,0.9410772781271359
current_58_28,30m,10120000,1.0,31.0,-25.499999999999996,0.6237940031748179,0.6237940031748195,2.197319376872155,0.9165434252651861
current_58_28,20m,14050000,0.0,5.800000000000003,-71.80000000000001,8.269238611247687,8.26923861124771,26.47560869621186,0.7924703431947151
current_58_28,17m,18080000,0.0,2.299999999999998,-35.1,10.706846021714071,10.706846021714151,32.46746080157992,0.21396369989106392
current_58_28,15m,21050000,1.0,49.099999999999994,2.2999999999999963,0.13538810472195734,0.13538810472195953,1.051104858607796,0.8947282031191387
current_58_28,12m,24910000,1.0,4.3,-16.000000000000004,3.1949096299021185,3.1949096299021225,12.826641922802677,0.47042015077147387
current_58_28,10m,28050000,1.0,4.1000000000000005,-21.399999999999995,3.3459112288313193,3.345911228831323,14.441829867829508,0.6110375219481691
classic_44_28,40m,7050000,0.5,38.97754058214386,-230.1354470622744,40.16246119491671,84.7705112390779,204.56709906679802,0.03412950232985343
classic_44_28,30m,10120000,0.9814814814814815,23.54532208446215,-70.70825214651467,3.5658605890568493,5.316373490850707,15.237001225057945,0.464424481204004
classic_44_28,20m,14050000,0.0,1.330496338829931,-72.0887605513872,45.362720248479235,51.81844755902293,115.39840404660475,0.07522561858264651
classic_44_28,17m,18080000,0.0,1.6657647860475269,-34.45129501751528,14.93910003319905,91.31535352382818,43.651844377144236,0.02016152758216834
classic_44_28,15m,21050000,0.2777777777777778,4.621197076948832,-71.49525109530987,9.550050071228117,24.089400703604646,34.824343083679224,0.713650463777983
classic_44_28,12m,24910000,0.9629629629629629,2.9273277017133728,-16.803312132970163,4.550163271229952,5.030701831656519,23.767294008671684,0.016954376755138292
classic_44_28,10m,28050000,0.25925925925925924,3.310060709874832,-27.625580600223103,8.074891000353148,20.710947547202537,23.933616549258282,0.21454565735495978
current_plus_3ft_line,40m,7050000,1.0,35.315951522878855,-193.32922948994226,4.568705098021093,4.6040614403719,23.245838641389394,0.9432268660928352
current_plus_3ft_line,30m,10120000,1.0,80.83229369529346,70.00258862145591,1.3524504691720804,1.5546498177386834,3.1279931316652334,0.9069124061759744
current_plus_3ft_line,20m,14050000,1.0,14.619831505959494,-23.415687726226402,1.4065095452936724,1.5291021579622472,4.225838696473783,0.8130712546954462
current_plus_3ft_line,17m,18080000,1.0,118.39488088686758,370.5683363025375,4.95630882426291,5.700267247663286,25.94877525359333,0.1972987608383358
