geometry,radiator_ft,band,frequency_hz,resistance_ohm,reactance_ohm,nec_efficiency,center_height_ft,end_height_ft,included_angle_deg
carolina_20_5,44.0,15m,21050000,4605.4,-1076.4,0.9423,20.0,5.0,94.02822783961923
carolina_20_5,44.0,12m,24910000,502.82,-1373.6,0.9407,20.0,5.0,94.02822783961923
carolina_20_5,44.0,10m,28050000,192.6,-684.45,0.9269,20.0,5.0,94.02822783961923
carolina_20_5,44.5,40m,7050000,16.905,-583.2,0.7267,20.0,5.0,95.22251176787015
carolina_20_5,44.5,30m,10120000,40.969,-91.41,0.8288,20.0,5.0,95.22251176787015
carolina_20_5,44.5,20m,14050000,149.87,538.57,0.9005,20.0,5.0,95.22251176787015
carolina_20_5,44.5,17m,18080000,1075.6,1867.3,0.9335,20.0,5.0,95.22251176787015
carolina_20_5,44.5,15m,21050000,4156.3,-1689.2,0.9427,20.0,5.0,95.22251176787015
carolina_20_5,44.5,12m,24910000,449.38,-1288.3,0.9396,20.0,5.0,95.22251176787015
carolina_20_5,44.5,10m,28050000,179.4,-634.86,0.924,20.0,5.0,95.22251176787015
carolina_20_5,45.0,40m,7050000,17.476,-567.1,0.7313,20.0,5.0,96.37937020844281
carolina_20_5,45.0,30m,10120000,42.797,-73.797,0.8321999999999999,20.0,5.0,96.37937020844281
carolina_20_5,45.0,20m,14050000,160.36,571.58,0.9026000000000001,20.0,5.0,96.37937020844281
carolina_20_5,45.0,17m,18080000,1243.8,1969.9,0.9345,20.0,5.0,96.37937020844281
carolina_20_5,45.0,15m,21050000,3622.7,-2088.9,0.9429000000000001,20.0,5.0,96.37937020844281
carolina_20_5,45.0,12m,24910000,403.67,-1209.5,0.9383,20.0,5.0,96.37937020844281
carolina_20_5,45.0,10m,28050000,167.62,-587.23,0.9209,20.0,5.0,96.37937020844281
carolina_20_5,45.5,40m,7050000,18.055,-551.23,0.7356999999999999,20.0,5.0,97.50078581198592
carolina_20_5,45.5,30m,10120000,44.677,-56.239,0.8354,20.0,5.0,97.50078581198592
carolina_20_5,45.5,20m,14050000,171.59,605.47,0.9045000000000001,20.0,5.0,97.50078581198592
carolina_20_5,45.5,17m,18080000,1443.8,2068.8,0.9354,20.0,5.0,97.50078581198592
carolina_20_5,45.5,15m,21050000,3094.4,-2304.1,0.943,20.0,5.0,97.50078581198592
carolina_20_5,45.5,12m,24910000,364.27,-1136.3,0.9368000000000001,20.0,5.0,97.50078581198592
carolina_20_5,45.5,10m,28050000,157.1,-541.28,0.9175,20.0,5.0,97.50078581198592
carolina_20_5,46.0,40m,7050000,18.641,-535.58,0.7398,20.0,5.0,98.58858633791715
carolina_20_5,46.0,30m,10120000,46.612,-38.723,0.8384,20.0,5.0,98.58858633791715
carolina_20_5,46.0,20m,14050000,183.63,640.28,0.9062,20.0,5.0,98.58858633791715
carolina_20_5,46.0,17m,18080000,1681.9,2157.7,0.9361,20.0,5.0,98.58858633791715
carolina_20_5,46.0,15m,21050000,2619.2,-2385.1,0.943,20.0,5.0,98.58858633791715
carolina_20_5,46.0,12m,24910000,330.07,-1068.1,0.9351,20.0,5.0,98.58858633791715
carolina_20_5,46.0,10m,28050000,147.73,-496.78,0.9138,20.0,5.0,98.58858633791715
carolina_20_5,46.5,40m,7050000,19.235,-520.15,0.7437,20.0,5.0,99.64446091970422
carolina_20_5,46.5,30m,10120000,48.604,-21.24,0.8412999999999999,20.0,5.0,99.64446091970422
carolina_20_5,46.5,20m,14050000,196.57,676.11,0.9079,20.0,5.0,99.64446091970422
carolina_20_5,46.5,17m,18080000,1964.3,2227.4,0.9368000000000001,20.0,5.0,99.64446091970422
carolina_20_5,46.5,15m,21050000,2213.2,-2379.1,0.9429000000000001,20.0,5.0,99.64446091970422
carolina_20_5,46.5,12m,24910000,300.21,-1004.1,0.9331999999999999,20.0,5.0,99.64446091970422
carolina_20_5,46.5,10m,28050000,139.4,-453.5,0.9098999999999999,20.0,5.0,99.64446091970422
carolina_20_5,47.0,40m,7050000,19.837,-504.93,0.7475,20.0,5.0,100.66997418481368
carolina_20_5,47.0,30m,10120000,50.657,-3.7766,0.8440000000000001,20.0,5.0,100.66997418481368
carolina_20_5,47.0,20m,14050000,210.5,713.02,0.9095,20.0,5.0,100.66997418481368
carolina_20_5,47.0,17m,18080000,2296.3,2263.7,0.9373999999999999,20.0,5.0,100.66997418481368
carolina_20_5,47.0,15m,21050000,1875.2,-2321.0,0.9426000000000001,20.0,5.0,100.66997418481368
carolina_20_5,47.0,12m,24910000,274.0,-944.04,0.9311,20.0,5.0,100.66997418481368
carolina_20_5,47.0,10m,28050000,132.03,-411.24,0.9057999999999999,20.0,5.0,100.66997418481368
carolina_20_5,47.5,40m,7050000,20.447,-489.91,0.7509999999999999,20.0,5.0,101.66657856775966
carolina_20_5,47.5,30m,10120000,52.772,13.677,0.8466,20.0,5.0,101.66657856775966
carolina_20_5,47.5,20m,14050000,225.52,751.11,0.9109,20.0,5.0,101.66657856775966
carolina_20_5,47.5,17m,18080000,2680.1,2246.8,0.938,20.0,5.0,101.66657856775966
carolina_20_5,47.5,15m,21050000,1597.0,-2234.4,0.9423,20.0,5.0,101.66657856775966
carolina_20_5,47.5,12m,24910000,250.88,-887.31,0.9287000000000001,20.0,5.0,101.66657856775966
carolina_20_5,47.5,10m,28050000,125.56,-369.83,0.9015000000000001,20.0,5.0,101.66657856775966
carolina_20_5,48.0,40m,7050000,21.066,-475.09,0.7544,20.0,5.0,102.6356250930211
carolina_20_5,48.0,30m,10120000,54.952,31.133,0.8491,20.0,5.0,102.6356250930211
carolina_20_5,48.0,20m,14050000,241.75,790.46,0.9123,20.0,5.0,102.6356250930211
carolina_20_5,48.0,17m,18080000,3110.6,2150.5,0.9384,20.0,5.0,102.6356250930211
carolina_20_5,48.0,15m,21050000,1368.7,-2134.1,0.9418000000000001,20.0,5.0,102.6356250930211
carolina_20_5,48.0,12m,24910000,230.42,-833.54,0.9261,20.0,5.0,102.6356250930211
carolina_20_5,48.0,10m,28050000,119.93,-329.09,0.8969,20.0,5.0,102.6356250930211
carolina_20_5,48.5,40m,7050000,21.693,-460.44,0.7576999999999999,20.0,5.0,103.57837285558593
carolina_20_5,48.5,30m,10120000,57.201,48.601,0.8514,20.0,5.0,103.57837285558593
carolina_20_5,48.5,20m,14050000,259.32,831.18,0.9136,20.0,5.0,103.57837285558593
carolina_20_5,48.5,17m,18080000,3569.5,1944.9,0.9388,20.0,5.0,103.57837285558593
carolina_20_5,48.5,15m,21050000,1180.9,-2028.8,0.9412,20.0,5.0,103.57837285558593
carolina_20_5,48.5,12m,24910000,212.25,-782.39,0.9233,20.0,5.0,103.57837285558593
carolina_20_5,48.5,10m,28050000,115.11,-288.88,0.8923000000000001,20.0,5.0,103.57837285558593
carolina_20_5,49.0,40m,7050000,22.33,-445.98,0.7608,20.0,5.0,104.49599738765403
carolina_20_5,49.0,30m,10120000,59.521,66.093,0.8536,20.0,5.0,104.49599738765403
carolina_20_5,49.0,20m,14050000,278.39,873.36,0.9148000000000001,20.0,5.0,104.49599738765403
carolina_20_5,49.0,17m,18080000,4020.0,1602.8,0.9390000000000001,20.0,5.0,104.49599738765403
carolina_20_5,49.0,15m,21050000,1025.6,-1923.8,0.9405,20.0,5.0,104.49599738765403
carolina_20_5,49.0,12m,24910000,196.07,-733.56,0.9201999999999999,20.0,5.0,104.49599738765403
carolina_20_5,49.0,10m,28050000,111.06,-249.05,0.8876000000000001,20.0,5.0,104.49599738765403
carolina_20_5,49.5,40m,7050000,22.975,-431.68,0.7637999999999999,20.0,5.0,105.38959806842986
carolina_20_5,49.5,30m,10120000,61.916,83.621,0.8558,20.0,5.0,105.38959806842986
carolina_20_5,49.5,20m,14050000,299.13,917.12,0.9159,20.0,5.0,105.38959806842986
carolina_20_5,49.5,17m,18080000,4405.5,1113.4,0.9392,20.0,5.0,105.38959806842986
carolina_20_5,49.5,15m,21050000,896.37,-1821.9,0.9397,20.0,5.0,105.38959806842986
carolina_20_5,49.5,12m,24910000,181.63,-686.78,0.9168000000000001,20.0,5.0,105.38959806842986
carolina_20_5,49.5,10m,28050000,107.77,-209.45,0.883,20.0,5.0,105.38959806842986
carolina_20_5,50.0,40m,7050000,23.629,-417.54,0.7667,20.0,5.0,106.26020470831197
carolina_20_5,50.0,30m,10120000,64.39,101.19,0.8578,20.0,5.0,106.26020470831197
carolina_20_5,50.0,20m,14050000,321.72,962.58,0.917,20.0,5.0,106.26020470831197
carolina_20_5,50.0,17m,18080000,4659.6,498.06,0.9394,20.0,5.0,106.26020470831197
carolina_20_5,50.0,15m,21050000,788.13,-1724.4,0.9388,20.0,5.0,106.26020470831197
carolina_20_5,50.0,12m,24910000,168.74,-641.81,0.9131999999999999,20.0,5.0,106.26020470831197
carolina_20_5,50.0,10m,28050000,105.22,-169.95,0.8784000000000001,20.0,5.0,106.26020470831197
carolina_20_5,50.5,40m,7050000,24.293,-403.57,0.7695000000000001,20.0,5.0,107.10878341789426
carolina_20_5,50.5,30m,10120000,66.945,118.82,0.8597,20.0,5.0,107.10878341789426
carolina_20_5,50.5,20m,14050000,346.41,1009.9,0.9179999999999999,20.0,5.0,107.10878341789426
carolina_20_5,50.5,17m,18080000,4729.7,-184.12,0.9394,20.0,5.0,107.10878341789426
carolina_20_5,50.5,15m,21050000,696.81,-1632.1,0.9377,20.0,5.0,107.10878341789426
