candidate,radiator_ft,counterpoise_ft,deployment,ground,conductivity,band,frequency_hz,resistance_ohm,reactance_ohm,raw_swr,minimum_q,inside_empirical_kh1_separator,nec_efficiency
35r-13c,35.0,13.0,20ft,average,ccs_mid,30m,10120000,136.32,115.62,4.848186669422189,1.9203294813394414,True,0.8862000000000001
35r-13c,35.0,13.0,20ft,average,ccs_mid,20m,14050000,1598.4,-1845.0,74.57877804650555,8.576765439570176,False,0.8974
35r-13c,35.0,13.0,20ft,average,ccs_mid,17m,18080000,102.24,-276.53,17.43518354067253,4.000436657015314,True,0.8841
35r-13c,35.0,13.0,20ft,average,ccs_mid,15m,21050000,114.91,155.84,6.813535057370604,2.3505698477914767,True,0.89
35r-13c,35.0,13.0,20ft,average,copper,40m,7050000,42.949,-552.66,144.2468066170087,11.920132873433895,False,0.9273
35r-13c,35.0,13.0,20ft,average,copper,30m,10120000,129.07,110.59,4.648795855402146,1.864542472913867,True,0.9394
35r-13c,35.0,13.0,20ft,average,copper,20m,14050000,1671.1,-1906.4,76.93555300273603,8.713129775397327,False,0.9457
35r-13c,35.0,13.0,20ft,average,copper,17m,18080000,98.252,-281.83,18.588389274563536,4.1392379496780425,True,0.9383
35r-13c,35.0,13.0,20ft,average,copper,15m,21050000,109.58,151.1,6.664887200826902,2.3148735615077287,True,0.9415
35r-13c,35.0,13.0,20ft,poor,ccs_mid,40m,7050000,52.752,-566.94,123.85594532771191,11.041566368124247,False,0.8842
35r-13c,35.0,13.0,20ft,poor,ccs_mid,30m,10120000,146.73,97.246,4.333612487320824,1.7954400321795392,True,0.8962
35r-13c,35.0,13.0,20ft,poor,ccs_mid,20m,14050000,1726.1,-1817.0,72.79096871178257,8.472056399970718,False,0.899
35r-13c,35.0,13.0,20ft,poor,ccs_mid,17m,18080000,102.73,-282.02,17.969998201974853,4.066808794144378,True,0.8835
35r-13c,35.0,13.0,20ft,poor,ccs_mid,15m,21050000,122.49,154.42,6.599946849801831,2.3115506989921157,True,0.897
35r-13c,35.0,13.0,20ft,poor,copper,40m,7050000,50.172,-569.29,131.18441002347765,11.366418129184725,False,0.9381999999999999
35r-13c,35.0,13.0,20ft,poor,copper,30m,10120000,139.56,92.403,4.131001618722676,1.7363193301990978,True,0.9449
35r-13c,35.0,13.0,20ft,poor,copper,20m,14050000,1810.6,-1872.8,74.96901175737965,8.599693915879403,False,0.9466
35r-13c,35.0,13.0,20ft,poor,copper,17m,18080000,98.647,-287.34,19.166963047691105,4.20859577152768,True,0.9379000000000001
35r-13c,35.0,13.0,20ft,poor,copper,15m,21050000,117.09,149.76,6.444561500423852,2.2743590628592805,True,0.9454
35r-13c,35.0,13.0,30ft,average,ccs_mid,40m,7050000,51.504,-555.15,121.66939226574927,10.941060866073112,False,0.8804000000000001
35r-13c,35.0,13.0,30ft,average,ccs_mid,30m,10120000,159.84,110.06,4.817711497695587,1.9267760939237635,True,0.9039
35r-13c,35.0,13.0,30ft,average,ccs_mid,20m,14050000,1796.3,-1667.7,66.90502204102411,8.117396972427304,False,0.9093000000000001
35r-13c,35.0,13.0,30ft,average,ccs_mid,17m,18080000,94.358,-297.35,21.11044493058205,4.4303406268963,True,0.87
35r-13c,35.0,13.0,30ft,average,ccs_mid,15m,21050000,103.86,153.26,6.937607993753032,2.3665021871063305,True,0.8767
