selection_category,band,paired_change_db_p10,paired_change_db_median,paired_change_db_p90
measured_baseline,40m,0.0,0.0,0.0
measured_baseline,30m,0.0,0.0,0.0
measured_baseline,20m,0.0,0.0,0.0
measured_baseline,17m,0.0,0.0,0.0
measured_baseline,15m,0.0,0.0,0.0
measured_baseline,12m,0.0,0.0,0.0
measured_baseline,10m,0.0,0.0,0.0
recommended_reversible_trim_test,40m,-0.0866097770830359,-0.01719706518777476,0.0038028935205088412
recommended_reversible_trim_test,30m,-0.005791854170316309,0.009498091577919691,0.03852219263328945
recommended_reversible_trim_test,20m,-0.38557771259129614,-0.08369779188321409,0.6478957589539712
recommended_reversible_trim_test,17m,0.14808213287483699,0.7935724494067966,3.9361641119564386
recommended_reversible_trim_test,15m,0.0017848434556697677,0.015645402128063056,0.043449141379395984
recommended_reversible_trim_test,12m,-1.3540966405687505,-0.3095614263605494,1.577943857312227
recommended_reversible_trim_test,10m,-0.00019455517298034252,0.23056768510697984,2.224391982211048
model_best_under_match_proxy,40m,-0.12252755610454635,-0.024304153047410508,0.004085231411805578
model_best_under_match_proxy,30m,-0.008862985296160976,0.011376086753470856,0.04642922905014765
model_best_under_match_proxy,20m,-0.5083577167397513,-0.11111674471452125,0.7431338991000619
model_best_under_match_proxy,17m,0.17495384438641046,0.9560643124421323,4.076996870272116
model_best_under_match_proxy,15m,0.0008690819867593,0.018263461623307775,0.05179748732472733
model_best_under_match_proxy,12m,-1.8229699278942897,-0.40302520530386055,1.7906042319969662
model_best_under_match_proxy,10m,0.006888406135411263,0.2568953641408679,2.272799385827217
best_trim_only_under_match_proxy,40m,-0.0843696465704444,-0.016388885862273453,0.004266873877914852
best_trim_only_under_match_proxy,30m,-0.003935756668913755,0.010054579217755837,0.03987619119100816
best_trim_only_under_match_proxy,20m,-0.3745016160799567,-0.07935449759643672,0.6525400240559541
best_trim_only_under_match_proxy,17m,0.1502743575248715,0.8113758686244517,3.941731657555737
best_trim_only_under_match_proxy,15m,0.0020568922580481556,0.016784681742609726,0.04458106154735165
best_trim_only_under_match_proxy,12m,-1.3349940689039148,-0.30279231812849283,1.5834178260404377
best_trim_only_under_match_proxy,10m,0.006636131308138719,0.23551458022307165,2.2271807682836604
best_priority_weighted_under_match_proxy,40m,-0.05563971145875215,-0.010844969035241774,0.003342814180947051
best_priority_weighted_under_match_proxy,30m,-0.0025046460511988864,0.007967426006433041,0.030551177930577003
best_priority_weighted_under_match_proxy,20m,-0.26820904817164803,-0.05727476553117973,0.5509639835007989
best_priority_weighted_under_match_proxy,17m,0.11605393699100156,0.6129185846870195,3.7490875165163975
best_priority_weighted_under_match_proxy,15m,0.001761286193667633,0.013321673898306333,0.03468860528565375
best_priority_weighted_under_match_proxy,12m,-0.9014076940405462,-0.1950962432011223,1.3423597933112084
best_priority_weighted_under_match_proxy,10m,-0.00045625580116721084,0.19996545495423879,2.146617401134086
highest_robust_efficiency_without_match_proxy,40m,-0.028250126822129084,0.007923722628010731,0.05302568118248852
highest_robust_efficiency_without_match_proxy,30m,0.010192521912580438,0.050868478295427774,0.10172653347111155
highest_robust_efficiency_without_match_proxy,20m,-0.011571312607014158,0.125664397679556,0.9147463351168809
highest_robust_efficiency_without_match_proxy,17m,0.25819632763281847,1.6218495345381112,4.423329878385125
highest_robust_efficiency_without_match_proxy,15m,0.00990814383093833,0.05032789235854057,0.09733996238493642
highest_robust_efficiency_without_match_proxy,12m,-0.7408618361267166,0.054244144012500904,1.9306979357910956
highest_robust_efficiency_without_match_proxy,10m,0.15102758267570177,0.834557892310821,2.377741555336435
