deployment,deployment_label,return_path,return_label,choke_position,ground,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit,device,device_label,atu_profile,atu_profile_status,tuner_loss_envelope,tuner_objective,hardware_loss_envelope,transformer_primary_resistance_ohm,transformer_primary_reactance_ohm,tuner_load_resistance_ohm,tuner_load_reactance_ohm,raw_swr_at_tuner,coax_efficiency,coax_loss_db,transformer_loss_db,choke_loss_db,tuned_input_swr,match_success_swr_2p5,atu_topology,atu_inductance_uH,atu_capacitance_pF,atu_tuner_efficiency,atu_dissipation_loss_db,atu_residual_mismatch_efficiency,atu_transducer_efficiency,atu_total_loss_db,pa_forward_radiating_efficiency,pa_forward_total_loss_db
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,conservative,best_swr,best,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,0.25,0.1,1.4469189750959874,True,source_shunt,10.68,2683.0,0.5962380891241177,2.2458028364044686,0.9666405861832993,0.5763479359757474,2.393152578019906,0.01614448096091373,17.919759128292004
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,conservative,best_swr,nominal,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,0.6,0.2,1.4469189750959874,True,source_shunt,10.68,2683.0,0.5962380891241177,2.2458028364044686,0.9666405861832993,0.5763479359757474,2.393152578019906,0.014555398065988703,18.369759128292003
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,conservative,best_swr,conservative,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,1.2,0.5,1.4469189750959874,True,source_shunt,10.68,2683.0,0.5962380891241177,2.2458028364044686,0.9666405861832993,0.5763479359757474,2.393152578019906,0.011831071722951529,19.269759128292
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,conservative,lowest_loss_swr_2p5,best,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,0.25,0.1,1.4529386952648766,True,source_shunt,10.62,2683.0,0.5975238240899218,2.2364477412121597,0.9659038407447539,0.5771505566249482,2.3871088115563976,0.016166963723462224,17.913715361828494
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,conservative,lowest_loss_swr_2p5,nominal,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,0.6,0.2,1.4529386952648766,True,source_shunt,10.62,2683.0,0.5975238240899218,2.2364477412121597,0.9659038407447539,0.5771505566249482,2.3871088115563976,0.014575667875796073,18.363715361828497
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,conservative,lowest_loss_swr_2p5,conservative,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,1.2,0.5,1.4529386952648766,True,source_shunt,10.62,2683.0,0.5975238240899218,2.2364477412121597,0.9659038407447539,0.5771505566249482,2.3871088115563976,0.011847547642919802,19.263715361828496
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,nominal,best_swr,best,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,0.25,0.1,1.8122576920520965,True,source_shunt,10.68,2683.0,0.747361992312088,1.2646899231572202,0.9165786067405992,0.685016013644292,1.6429927587098883,0.01918845770043091,17.169599308981986
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,nominal,best_swr,nominal,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,0.6,0.2,1.8122576920520965,True,source_shunt,10.68,2683.0,0.747361992312088,1.2646899231572202,0.9165786067405992,0.685016013644292,1.6429927587098883,0.01729975963788128,17.619599308981986
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,nominal,best_swr,conservative,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,1.2,0.5,1.8122576920520965,True,source_shunt,10.68,2683.0,0.747361992312088,1.2646899231572202,0.9165786067405992,0.685016013644292,1.6429927587098883,0.01406177255597389,18.519599308981988
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,0.25,0.1,1.81713381778223,True,source_shunt,10.62,2683.0,0.7483591140565973,1.2588994782175358,0.9158660236842708,0.6853966860788995,1.6405799973271558,0.019199120979483796,17.167186547599254
