deployment,deployment_label,return_path,return_label,choke_position,ground,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit,device,device_label,atu_profile,atu_profile_status,tuner_loss_envelope,tuner_objective,hardware_loss_envelope,transformer_primary_resistance_ohm,transformer_primary_reactance_ohm,tuner_load_resistance_ohm,tuner_load_reactance_ohm,raw_swr_at_tuner,coax_efficiency,coax_loss_db,transformer_loss_db,choke_loss_db,tuned_input_swr,match_success_swr_2p5,atu_topology,atu_inductance_uH,atu_capacitance_pF,atu_tuner_efficiency,atu_dissipation_loss_db,atu_residual_mismatch_efficiency,atu_transducer_efficiency,atu_total_loss_db,pa_forward_radiating_efficiency,pa_forward_total_loss_db
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,1.4438888888888888,-293.6333333333333,6.012847777699269,-101.20896463610055,42.48347086931466,0.03455009904638584,14.615507032756824,0.25,0.1,1.81713381778223,True,source_shunt,10.62,2683.0,0.7483591140565973,1.2588994782175358,0.9158660236842708,0.6853966860788995,1.6405799973271558,0.019199120979483796,17.167186547599254
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,80m,3550000,21.819,-1160.2,1236.5729194961677,0.8805,True,kx2,KX2 / KXAT2,kxat2,published,nominal,lowest_loss_swr_2p5,best,2.4243333333333332,-128.91111111111113,2.963180974967866,-37.62587038269045,26.450528889945414,0.16742980079442019,7.761672394807263,0.25,0.1,3.8691961206621626,False,source_shunt,2.75,1323.0,0.7276305005081767,1.380891046542273,0.6527790385830462,0.47498193856542825,3.233229043340884,0.06460099638846131,11.897607835115192
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,80m,3550000,21.819,-1160.2,1236.5729194961677,0.8805,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,2.4243333333333332,-128.91111111111113,2.963180974967866,-37.62587038269045,26.450528889945414,0.16742980079442019,7.761672394807263,0.25,0.1,1.2685562394604786,True,source_shunt,2.37,2683.0,0.7448234650916795,1.2794664969681846,0.9859857005396381,0.7343852860067803,1.340760331549595,0.09988173729795004,10.0051391233239
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,60m,5357000,44.448,-454.82,95.08346110240701,0.8912,True,kx2,KX2 / KXAT2,kxat2,published,nominal,lowest_loss_swr_2p5,best,4.938666666666666,-50.535555555555554,4.370127709812279,2.181078670515302,11.463251511719337,0.555802944961615,2.550791564122086,0.25,0.1,1.7363485572166713,True,source_shunt,0.5,1323.0,0.9018515151662856,0.4486496074218194,0.9275857484932797,0.8365446127253174,0.7751089326251297,0.3822831255574093,4.176148718450679
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,60m,5357000,44.448,-454.82,95.08346110240701,0.8912,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,4.938666666666666,-50.535555555555554,4.370127709812279,2.181078670515302,11.463251511719337,0.555802944961615,2.550791564122086,0.25,0.1,1.016621376495295,True,source_shunt,0.36999999999999994,1829.0,0.9078799738183478,0.4197156354271089,0.9999320663043952,0.9078182981765608,0.42001067774024414,0.4148536864454077,3.8210504635657934
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,40m,7050000,133.02,200.02,8.939759594360087,0.8978,True,kx2,KX2 / KXAT2,kxat2,published,nominal,lowest_loss_swr_2p5,best,14.780000000000001,22.224444444444444,174.45736938531945,12.642185405655217,3.5090994692536532,0.8353746323551594,0.7811871699937188,0.25,0.1,1.043490666832343,True,load_shunt,1.7499999999999998,213.0,0.9731354315366961,0.11826714638049121,0.9995470535957992,0.9726946533421812,0.12023471325473134,0.6730346330414881,1.7196258725921099
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,40m,7050000,133.02,200.02,8.939759594360087,0.8978,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,14.780000000000001,22.224444444444444,174.45736938531945,12.642185405655217,3.5090994692536532,0.8353746323551594,0.7811871699937188,0.25,0.1,1.0438172821943639,True,load_shunt,1.7499999999999998,213.0,0.9726624273665346,0.12037860008699795,0.9995403717234839,0.9722153642114122,0.1223751992110394,0.6727029994881016,1.721766358548418
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,40m,7050000,133.02,200.02,8.939759594360087,0.8978,True,kh1,KH1 / KHATU1,khatu1,inferred,nominal,lowest_loss_swr_2p5,best,14.780000000000001,22.224444444444444,174.45736938531945,12.642185405655217,3.5090994692536532,0.8353746323551594,0.7811871699937188,0.25,0.1,1.1795361109324383,True,load_shunt,1.75,240.0,0.9694419408875944,0.13478195360080023,0.9932145994606056,0.9628638890189842,0.1643510064893905,0.666232452278958,1.7637421658267682
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,40m,7050000,133.02,200.02,8.939759594360087,0.8978,True,kh1,KH1 / KHATU1,khatu1_wide_sensitivity,range-fit,nominal,lowest_loss_swr_2p5,best,14.780000000000001,22.224444444444444,174.45736938531945,12.642185405655217,3.5090994692536532,0.8353746323551594,0.7811871699937188,0.25,0.1,1.263783212190869,True,load_shunt,1.5,220.0,0.976336003802584,0.10400695156390617,0.9864223491943275,0.9630796544739467,0.16337791725025694,0.6663817464313466,1.762769076587635
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,30m,10120000,257.52,-1292.8,135.1392599338518,0.8905,True,kx2,KX2 / KXAT2,kxat2,published,nominal,lowest_loss_swr_2p5,best,28.61333333333333,-143.64444444444445,6.307062049996851,17.147313368928355,8.873451443244159,0.5270492604218003,2.7814879175222633,0.25,0.1,1.0597822058589208,True,load_shunt,0.0,811.0,0.9919921066877213,0.03491783526874749,0.9991576331503518,0.9911564854219349,0.038577729717537694,0.4291680265028225,3.6737264092471777
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,30m,10120000,257.52,-1292.8,135.1392599338518,0.8905,True,kx3,KX3 / KXAT3,kxat3,published,nominal,lowest_loss_swr_2p5,best,28.61333333333333,-143.64444444444445,6.307062049996851,17.147313368928355,8.873451443244159,0.5270492604218003,2.7814879175222633,0.25,0.1,1.060273586140901,True,load_shunt,0.0,811.0,0.9915238390400466,0.036968396643412255,0.9991441369556787,0.9906752304286487,0.04068695413259982,0.4289596444170963,3.67583563366224
