candidate_id,band,scenario_count,final_efficiency_p10,final_efficiency_p50,final_efficiency_p90,swr_le_1p5_fraction,swr_le_2p5_fraction,rollback_fraction
direct-41r-12c-z4,40m,288,0.518876232506419,0.6503905824188272,0.7578720625839178,0.5,1.0,0.0
direct-41r-12c-z4,30m,288,0.593037212561238,0.7535418289083478,0.8211311722017675,0.7604166666666666,1.0,0.0
direct-41r-12c-z4,20m,288,0.5758220450477334,0.7227558354069932,0.8011147677569438,1.0,1.0,0.0
direct-41r-12c-z4,17m,288,0.5585393356804808,0.6963492143310268,0.7937090727228181,0.125,0.9375,0.0625
direct-41r-12c-z4,15m,288,0.538186450481081,0.680338324104927,0.7738341004088134,0.16666666666666666,1.0,0.0
direct-41r-17c-z1,40m,288,0.7551015338930626,0.8226013762045601,0.8809798139637199,0.6458333333333334,1.0,0.0
direct-41r-17c-z1,30m,288,0.6474747941607032,0.7610274776497543,0.8545501000681882,0.4791666666666667,0.9583333333333334,0.041666666666666664
direct-41r-17c-z1,20m,288,0.4280200940998709,0.514519837057611,0.6174693084306755,0.0,0.0,1.0
direct-41r-17c-z1,17m,288,0.6065747414629887,0.7209875035852891,0.8632854353582143,0.20833333333333334,0.5,0.5
direct-41r-17c-z1,15m,288,0.3169327302879559,0.40993868329999084,0.5206307318099951,0.0,0.0,1.0
direct-42r-24c-z4,40m,288,0.5770376904517694,0.7268177350609657,0.806008853750141,0.3958333333333333,1.0,0.0
direct-42r-24c-z4,30m,288,0.5652018980980701,0.7199450767046558,0.8027184071244009,0.5520833333333334,1.0,0.0
direct-42r-24c-z4,20m,288,0.6169431717578018,0.787743401088149,0.8538977835613001,0.84375,1.0,0.0
direct-42r-24c-z4,17m,288,0.5837652676739099,0.7307557250529235,0.820031817384335,0.6145833333333334,1.0,0.0
direct-42r-24c-z4,15m,288,0.5725096293211516,0.7220289463318599,0.81903178335501,0.3333333333333333,1.0,0.0
direct-44r-12c-z4,40m,288,0.5616047097105229,0.7029171457003407,0.7847929068043172,0.8645833333333334,1.0,0.0
direct-44r-12c-z4,30m,288,0.5834644325925203,0.7315729769126145,0.8039352355643583,0.84375,1.0,0.0
direct-44r-12c-z4,20m,288,0.5303066324169474,0.6684234106802587,0.7595322080693515,0.4166666666666667,1.0,0.0
direct-44r-12c-z4,17m,288,0.5920645817998833,0.7462800181525862,0.8305140545306224,0.625,1.0,0.0
direct-44r-12c-z4,15m,288,0.572805966099752,0.7189160254843217,0.7957798779887857,0.5,1.0,0.0
direct-44r-14c-z4,40m,288,0.5649983643821823,0.7127801040568792,0.7920366478818629,0.75,1.0,0.0
direct-44r-14c-z4,30m,288,0.5824365221885138,0.7315846337896499,0.80025778282318,0.90625,1.0,0.0
direct-44r-14c-z4,20m,288,0.551188082863499,0.6983446233288918,0.7822170501971224,0.6979166666666666,1.0,0.0
direct-44r-14c-z4,17m,288,0.5837215766993987,0.7332247158129837,0.8155709761871311,0.5,1.0,0.0
direct-44r-14c-z4,15m,288,0.5768070390630156,0.7229736138539051,0.7922812005151474,0.6979166666666666,1.0,0.0
direct-52r-28c-z4,40m,288,0.5841747805193043,0.7350668434951254,0.8141405318242692,1.0,1.0,0.0
direct-52r-28c-z4,30m,288,0.5666092762374378,0.7170490166534921,0.7860239140065219,0.71875,1.0,0.0
direct-52r-28c-z4,20m,288,0.5793984827987776,0.7332438140272591,0.8217796838398466,0.5833333333333334,1.0,0.0
direct-52r-28c-z4,17m,288,0.5765218080509815,0.7268205044768252,0.8004994617106858,0.59375,1.0,0.0
direct-52r-28c-z4,15m,288,0.5802333230343639,0.7271701305687641,0.8119375079446564,0.75,1.0,0.0
doublet-58r-32l,40m,972,0.5855987810126126,0.6383503742213699,0.6911768917617551,1.0,1.0,0.0
doublet-58r-32l,30m,972,0.659494699437656,0.7104099778903186,0.7525062243764159,0.6666666666666666,1.0,0.0
doublet-58r-32l,20m,972,0.5933667905004095,0.6728506544548998,0.7289260082829004,0.5,0.8333333333333334,0.16666666666666666
doublet-58r-32l,17m,972,0.1185875078264399,0.1565711303851086,0.18825399598128645,0.3333333333333333,0.6666666666666666,0.3333333333333333
doublet-58r-32l,15m,972,0.37242068987584154,0.4760325607138832,0.5778702059566951,0.0,0.4074074074074074,0.5925925925925926
linked-dipole-five-band,40m,6,0.828470568177316,0.828470568177316,0.828470568177316,1.0,1.0,0.0
linked-dipole-five-band,30m,6,0.8627780444706818,0.8627780444706818,0.8703698240538593,1.0,1.0,0.0
linked-dipole-five-band,20m,6,0.88005820851098,0.88005820851098,0.8825904329678115,1.0,1.0,0.0
linked-dipole-five-band,17m,6,0.8874595726185373,0.8874595726185373,0.8874595726185373,1.0,1.0,0.0
linked-dipole-five-band,15m,6,0.8915865016516779,0.8915865016516779,0.8915865016516779,1.0,1.0,0.0
ocfd-68ft-f0.36-z4,40m,144,0.5153250112000245,0.6501829895279172,0.7346825077907451,0.0,0.9375,0.0625
ocfd-68ft-f0.36-z4,30m,144,0.5801597105971865,0.7266026306384659,0.7972227534997858,0.9583333333333334,1.0,0.0
ocfd-68ft-f0.36-z4,20m,144,0.5569791240810318,0.7026714714861864,0.7793836613425371,0.5,1.0,0.0
ocfd-68ft-f0.36-z4,17m,144,0.55285118620197,0.7072336080105117,0.7890116081153532,0.4791666666666667,1.0,0.0
ocfd-68ft-f0.36-z4,15m,144,0.5357967302279495,0.6747002723778448,0.7693677050742319,0.2916666666666667,1.0,0.0
vertical-32r-4x12-z1,40m,144,0.7438266954219525,0.8134557130825931,0.8783233006601768,0.7291666666666666,1.0,0.0
vertical-32r-4x12-z1,30m,144,0.8173495838739974,0.8644933152546572,0.9047789119406832,0.5833333333333334,1.0,0.0
vertical-32r-4x12-z1,20m,144,0.5318485967444272,0.6278123686260397,0.753421057871807,0.0,0.5,0.5
vertical-32r-4x12-z1,17m,144,0.5539410923141009,0.6175762403178442,0.6715934931441794,0.0,0.0,1.0
vertical-32r-4x12-z1,15m,144,0.7489546532490408,0.809565632475426,0.8792136466550695,0.9791666666666666,1.0,0.0
