candidate_id,label,band,frequency_hz,scenario,raw_resistance_ohm,raw_reactance_ohm,raw_swr_50ohm,tuner_plane_resistance_ohm,tuner_plane_reactance_ohm,tuner_plane_raw_swr,nec_radiation_efficiency,nec_loss_db,transformer_loss_db,choke_loss_db,feedline_loss_db,tuner_internal_loss_db,residual_input_swr,residual_mismatch_efficiency,residual_mismatch_loss_db,topology,l_mask,c_mask,inductance_uH,capacitance_pF,final_efficiency,total_loss_db,likely_power_rollback
linked-dipole-five-band,Five-band resonant linked dipole,40m,7050000,representative nominal,55.96,-0.00099785,1.1192000017646153,55.96,-0.00099785,1.1192000017646153,0.8311,0.8034671768963584,0.0,0.0,-0.0,0.0,1.1192000017646153,0.9968362028363807,0.013761978051306838,bypass,0,0,0.0,0.0,0.828470568177316,0.817229154947665,False
linked-dipole-five-band,Five-band resonant linked dipole,30m,10120000,representative nominal,65.388,-0.0019043,1.30776000267089,65.388,-0.0019043,1.30776000267089,0.8784000000000001,0.5630767289398328,0.0,0.0,-0.0,0.03973720032795031,1.0971649769587224,0.9978533842503993,0.0093326541469299,load_shunt,1,2,0.35,120.0,0.8685310351263256,0.6121465834147132,False
linked-dipole-five-band,Five-band resonant linked dipole,20m,14050000,representative nominal,64.894,-0.0019163,1.2978800027851773,64.894,-0.0019163,1.2978800027851773,0.8951,0.48128442871635646,0.0,0.0,-0.0,0.0,1.2978800027851773,0.9831954066707408,0.07360159070148563,bypass,0,0,0.0,0.0,0.88005820851098,0.5548860194178422,False
linked-dipole-five-band,Five-band resonant linked dipole,17m,18080000,representative nominal,53.881,-0.0062426,1.0776201041637565,53.881,-0.0062426,1.0776201041637565,0.8887,0.5124481983173015,0.0,0.0,-0.0,0.0,1.0776201041637565,0.9986042225931554,0.0060660186489715495,bypass,0,0,0.0,0.0,0.8874595726185373,0.518514216966273,False
linked-dipole-five-band,Five-band resonant linked dipole,15m,21050000,representative nominal,51.141,-0.012721,1.0228214342195456,51.141,-0.012721,1.0228214342195456,0.8917,0.497812333581366,0.0,0.0,-0.0,0.0,1.0228214342195456,0.9998727168909698,0.0005528187019010424,bypass,0,0,0.0,0.0,0.8915865016516779,0.49836515228326683,False
direct-41r-28c-linked14,41/28 ft direct wire with a 14 ft 17 m counterpoise link,40m,7050000,representative nominal,67.584,57.332,2.6928492790887977,67.584,57.332,2.6928492790887977,0.9177,0.3729926829565891,0.0,0,-0.0,0.08255596054889645,1.195645546773599,0.9920600919757532,0.03462020564514899,load_shunt,4,6,1.4,360.0,0.8932707536258735,0.49016884915063424,False
direct-41r-28c-linked14,41/28 ft direct wire with a 14 ft 17 m counterpoise link,30m,10120000,representative nominal,521.7,1214.1,67.02397971765343,521.7,1214.1,67.02397971765343,0.9416,0.2613355016462173,0.0,0,-0.0,0.6398382985542351,1.4584491289923716,0.9652255834894036,0.15371175552074848,load_shunt,14,1,4.8999999999999995,60.0,0.7843527876931334,1.0548855557212011,False
direct-41r-28c-linked14,41/28 ft direct wire with a 14 ft 17 m counterpoise link,20m,14050000,representative nominal,407.5,32.008,8.201046529787456,407.5,32.008,8.201046529787456,0.9440000000000001,0.25028005701931,0.0,0,-0.0,0.13788556246639008,1.5824315464056442,0.9491334663894136,0.2267271313556811,load_shunt,5,1,1.75,60.0,0.8679820118707394,0.614892750841381,False
direct-41r-28c-linked14,41/28 ft direct wire with a 14 ft 17 m counterpoise link,17m,18080000,representative nominal,85.775,69.17,3.090431561645858,85.775,69.17,3.090431561645858,0.9255,0.33623576911077085,0.0,0,-0.0,0.09501552714134459,1.3427894452687408,0.9785913952164883,0.09398607323706637,load_shunt,2,2,0.7,120.0,0.8860867920707951,0.5252373694891815,False
direct-41r-28c-linked14,41/28 ft direct wire with a 14 ft 17 m counterpoise link,15m,21050000,representative nominal,313.21,-9.0038,6.269511870635551,313.21,-9.0038,6.269511870635551,0.9423,0.2581080888183278,0.0,0,-0.0,0.1539346112253661,1.4029927643227587,0.9718751917077908,0.12389503626056284,load_shunt,2,1,0.7,60.0,0.883906293988384,0.5359377363042568,False
direct-41r-28c-z1,41/28 ft direct wire without the 17 m link,40m,7050000,representative nominal,67.584,57.332,2.6928492790887977,67.584,57.332,2.6928492790887977,0.9177,0.3729926829565891,0.0,0,-0.0,0.08255596054889645,1.195645546773599,0.9920600919757532,0.03462020564514899,load_shunt,4,6,1.4,360.0,0.8932707536258735,0.49016884915063424,False
direct-41r-28c-z1,41/28 ft direct wire without the 17 m link,30m,10120000,representative nominal,521.7,1214.1,67.02397971765343,521.7,1214.1,67.02397971765343,0.9416,0.2613355016462173,0.0,0,-0.0,0.6398382985542351,1.4584491289923716,0.9652255834894036,0.15371175552074848,load_shunt,14,1,4.8999999999999995,60.0,0.7843527876931334,1.0548855557212011,False
direct-41r-28c-z1,41/28 ft direct wire without the 17 m link,20m,14050000,representative nominal,407.5,32.008,8.201046529787456,407.5,32.008,8.201046529787456,0.9440000000000001,0.25028005701931,0.0,0,-0.0,0.13788556246639008,1.5824315464056442,0.9491334663894136,0.2267271313556811,load_shunt,5,1,1.75,60.0,0.8679820118707394,0.614892750841381,False
direct-41r-28c-z1,41/28 ft direct wire without the 17 m link,17m,18080000,representative nominal,783.43,-1163.7,50.28352864576245,783.43,-1163.7,50.28352864576245,0.9545999999999999,0.20178569969774893,0.0,0,-0.0,1.0280260972834245,5.983467728870028,0.49076172377021443,3.091293167755472,load_shunt,3,1,1.0499999999999998,60.0,0.3697340972779151,4.321104964736646,True
direct-41r-28c-z1,41/28 ft direct wire without the 17 m link,15m,21050000,representative nominal,313.21,-9.0038,6.269511870635551,313.21,-9.0038,6.269511870635551,0.9423,0.2581080888183278,0.0,0,-0.0,0.1539346112253661,1.4029927643227587,0.9718751917077908,0.12389503626056284,load_shunt,2,1,0.7,60.0,0.883906293988384,0.5359377363042568,False
direct-52r-28c-z4,52/28 ft direct wire with 4:1 transformer,40m,7050000,representative nominal,151.85,428.25,27.48505023623112,37.9625,107.0625,7.989972695391774,0.9192,0.3658998431977123,0.35,0.2,-0.0,0.18141903944642895,1.153569683701454,0.9949149746571058,0.022140324352231257,load_shunt,7,6,2.4499999999999997,360.0,0.7727768069657441,1.1194592069963725,False
direct-52r-28c-z4,52/28 ft direct wire with 4:1 transformer,30m,10120000,representative nominal,472.21,-987.97,50.871556516544615,118.0525,-246.9925,13.043204290251067,0.9356,0.2890978686288457,0.35,0.2,-0.0,0.29615863286535027,1.5732400092288537,0.950373642695275,0.22105616755484256,load_shunt,6,1,2.0999999999999996,60.0,0.7317601129214797,1.356312669049039,False
direct-52r-28c-z4,52/28 ft direct wire with 4:1 transformer,20m,14050000,representative nominal,326.86,729.81,39.254957236517946,81.715,182.4525,10.296628856786539,0.9376000000000001,0.2798240132598452,0.35,0.2,-0.0,0.21442786717037035,1.1356352293461411,0.9959664182863047,0.01755304747810799,load_shunt,5,2,1.75,120.0,0.7831041170481171,1.0618049279083235,False
direct-52r-28c-z4,52/28 ft direct wire with 4:1 transformer,17m,18080000,representative nominal,1872.6,-674.78,42.31812753812352,468.15,-168.695,10.59114922229112,0.9394,0.2714944415276989,0.35,0.2,-0.0,0.2567533879612261,1.5301425161818236,0.9560968884627906,0.19498095179305602,load_shunt,3,1,1.0499999999999998,60.0,0.7458940140616004,1.2732287812819811,False
direct-52r-28c-z4,52/28 ft direct wire with 4:1 transformer,15m,21050000,representative nominal,204.83,-757.72,60.38425248470485,51.2075,-189.43,15.952912046143163,0.9362,0.2863136320857667,0.35,0.2,-0.0,0.23041857043186115,1.119001453362361,0.9968461428272535,0.013718672424453883,source_shunt,4,0,1.4,0.0,0.7797491544854258,1.080450874942082,False
direct-44r-14c-z4,44/14 ft direct wire with 4:1 transformer,40m,7050000,representative nominal,74.567,-317.72,29.202882044585987,18.64175,-79.43,9.72092761458254,0.9297,0.3165716904105456,0.35,0.2,-0.0,0.3815289285998099,1.387273816785992,0.9736832774477187,0.11582288733086599,source_shunt,7,7,2.4499999999999997,420.0,0.7304788555619023,1.3639235063412216,False
direct-44r-14c-z4,44/14 ft direct wire with 4:1 transformer,30m,10120000,representative nominal,1447.5,1239.3,50.18554185254298,361.875,309.825,12.601545309364349,0.9459000000000001,0.2415477453243287,0.35,0.2,-0.0,0.275382676003573,1.2782125520730234,0.9850870020025501,0.06525411308452488,load_shunt,7,2,2.4499999999999997,120.0,0.7705157962412246,1.1321845344124268,False
direct-44r-14c-z4,44/14 ft direct wire with 4:1 transformer,20m,14050000,representative nominal,99.354,-492.75,51.34710880324202,24.8385,-123.1875,14.660627374658162,0.9329000000000001,0.30164906924202534,0.35,0.2,-0.0,0.3960565334541841,1.3065691499956413,0.9823345810621354,0.07740567242941035,source_shunt,5,3,1.75,180.0,0.7370362907193303,1.32511127512562,False
direct-44r-14c-z4,44/14 ft direct wire with 4:1 transformer,17m,18080000,representative nominal,112.28,245.03,13.310424765045319,28.07,61.2575,4.808349189405979,0.9259999999999999,0.333890133180657,0.35,0.2,-0.0,0.08847288528695499,1.4538358011456654,0.9657936678816756,0.15115646329607013,load_shunt,2,3,0.7,180.0,0.772054665647757,1.1235194817636815,False
direct-44r-14c-z4,44/14 ft direct wire with 4:1 transformer,15m,21050000,representative nominal,1080.3,1410.7,58.478180174867724,270.075,352.675,14.72949203794223,0.9334,0.2993220345086288,0.35,0.2,-0.0,0.2766938635871832,1.6168944149683369,0.9444288638320666,0.2483074839187441,load_shunt,3,1,1.0499999999999998,60.0,0.7287316999176732,1.374323382014556,False
direct-44r-12c-z4,44/12 ft direct wire with 4:1 transformer,40m,7050000,representative nominal,74.617,-442.98,54.74109723724505,18.65425,-110.745,16.140718347197204,0.9319,0.3063068826647254,0.35,0.2,-0.0,0.47473392123127256,1.3509355958849159,0.9777170144016907,0.09786827081254362,source_shunt,9,7,3.15,420.0,0.719629722568507,1.4289090747085418,False
