band,linked_final_efficiency,recommended_final_efficiency,relative_power_fraction,relative_sacrifice_fraction,deficit_db
40m,0.828470568177316,0.7304788555619023,0.8817197419203421,0.11828025807965792,0.546694351393557
30m,0.8685310351263256,0.7705157962412246,0.8871482596233939,0.11285174037660606,0.5200379509977139
20m,0.88005820851098,0.7370362907193303,0.8374858430857244,0.16251415691427562,0.7702252557077776
17m,0.8874595726185373,0.772054665647757,0.8699603784426296,0.13003962155737037,0.6050052647974088
15m,0.8915865016516779,0.7287316999176732,0.8173426791093028,0.1826573208906972,0.875958229731289
